"ProductID";"PartNumber";"Description"
82;"hq10-q";"ck 25s water cake - red carpet - 25 sec"
83;"hq11";"ck V 100s green strobe mine to flower shuttle w/blue stars (30s)"
84;"hq12";"ck 100s gold coconut w/green strobe pistil w/green tails (30 sec)"
85;"hq13";"ck 49s quick ti salutes w/multicolor tails (10s)"
86;"hq14";"ck 100s glittering mine to glittering coconut w/color stars (36s)"
87;"hq15";"ck 100s corolla chrys to blue w/blue pistil w/blue tail (30 sec)"
88;"hq16-q";"ck 100s red octopus w/red wave tails (21s)"
89;"hq17";"ck 100s silver strobe & new color dahlias w/salutes w/color tails (30s)"
90;"hq25chn1";"2.5"" chain 10 all dark salutes (no titanium)"
91;"hq25chn2";"2.5"" chain 10 ti salutes w/big silver tails (""titanium chrys"")"
92;"hq25chn3";"2.5"" chain 10 rainbow peonies w/big silver tails"
93;"hq25chn4";"2.5"" chain 10 rainbow peonies + salutes w/big silver tail"
94;"hq25gb";"2.5"" salute, dark -ground bomb, no delay, no lift, short fuse"
95;"hq25p01";"2.5"" mine multicolor stars"
96;"hq25p02";"2.5"" mine red stars"
97;"hq25p03";"2.5"" mine white stars"
98;"hq25p04";"2.5"" mine blue stars"
99;"hq25p05";"2.5"" mine brocade crown stars"
100;"hq25p06";"2.5"" mine multicolor (magenta,lemon,aqua,orange)"
101;"hq25p07";"2.5"" mine glitter crackling"
102;"hq25p08";"2.5"" mine silver strobe"
103;"hq25p09";"2.5"" mine machine gun salutes"
104;"hq25q01-120";"2.5"" salute, ti, extra loud, w/2 fuses"
105;"hq25q01-96";"2.5"" salute, ti, extra loud, w/2 fuses"
106;"hq25q02-120";"2.5"" salute, dark (no ti), extra loud, w/2 fuses"
107;"hq25q02-96";"2.5"" salute, dark (no ti), extra loud, w/2 fuses"
108;"hq301";"3"" mine cylinder color chrys w/thousand reports"
109;"hq302";"3"" mine cylinder machine gun"
110;"hq303";"3"" mine cylinder whistles w/red tips"
111;"hq304";"3"" mine cylinder white strobe to red crossette"
112;"hq305";"3"" mine cylinder special multicolor strobe"
113;"hq306";"3"" mine cylinder multicolor crossettes"
114;"hq307";"3"" mine cylinder color to big crackling rain"
115;"hq312";"3"" mine whistles cylinder to big report"
116;"hq3chn11";"3"" chain 10 salute dark (no ti, no tail) (""crackling"")"
117;"hq3chn4";"3"" chain 10 rainbow peonies & ti salutes(sil flwrs) w/big silver tails"
118;"hq3m01";"3"" mine cylinder green & gold glittering"
119;"hq3m02";"3"" mine cylinder gold rain crossette"
120;"hq3m03";"3"" mine cylinder color flower ball (crklng) up to color flower ball (crklng)"
121;"hq3m04";"3"" mine cylinder color silver dragons"
122;"hq3m13";"3"" mine cylinder green strobe to yellow crossettes"
123;"hq3p01";"3"" multicolor falling leaves w/blue stars pistil"
124;"hq3p04";"3"" mine cylinder - red stars"
125;"hq3p05";"3"" mine cylinder - white stars"
126;"hq3p06";"3"" mine cylinder - blue stars"
127;"hq3p07";"3"" fireflower (tourbillions) cylinder w/multicolor pistil"
128;"hq3p08";"3"" fireflower (tourbillions) cylinder w/special green strobe pistil"
129;"hq3p09";"3"" pink, seablue & lemon dahlia w/silver strobe pistil"
130;"hq3p10";"3"" multicolor peony w/silver strobe pistil"
131;"hq3p12";"3"" mine cylinder - white strobing stars"
132;"hq3p13";"3"" multicolor dahlia w/white strobe pistil"
133;"hq3p20";"3"" fresh color dahlia (magenta,lemon,aqua,orange stars)"
134;"hq3p21";"3"" silver fish"
135;"hq3p22";"3"" multicolor fish"
136;"hq3q02";"3"" white special strobing peony"
137;"hq3q03";"3"" red special strobing peony"
138;"hq3q04";"3"" white bright peony"
139;"hq3t01";"3"" time rain crackling willow waterfall"
140;"hq406";"4"" whistles cylinder to big report"
141;"hq409";"4"" blue and gold big crackling rain tree"
142;"hq4assort";"4"" assortment hq 1 ea of 36 w/big silver tail & 2 fuses"
143;"hq4chn1";"4"" chain 8 rainbow peonies w/big silver tails"
144;"hq4chn2";"4"" chain 8 dark salutes (no ti, no tail)"
145;"hq4chn3";"4"" chain 8 silver crown w/green strobe pistil w/big silver tail"
146;"hq4chn4";"4"" chain 8 crackling willow w/red strobing pistil"
147;"hq4chn5";"4"" chain 8 brocace crown w/green strobing pistil w/big sil tl"
148;"hq4m02";"4"" gold flashing ring to sound (salute) ring cylinder"
149;"hq4m03";"4"" red & blue double sound (salute) ring cylinder"
150;"hq4m04";"4"" red peony"
151;"hq4m08";"4"" pink, seablue & lemon dahlia w/silver strobe pistil"
152;"hq4m09";"4"" purple peony"
153;"hq4m11";"4"" silver crown w/magenta (peachblow) pistil"
154;"hq4m12";"4"" double rings - red & silver glitter w/red pistil"
155;"hq4m13";"4"" double rings - green & silver glitter w/green pistil"
156;"hq4m15";"4"" red heart pattern"
157;"hq4m16";"4"" green bowtie in red ring"
158;"hq4ms17";"4"" smiling face w/strobing (blinking) eyes"
159;"hq4n01";"4"" glittering crackling coconut w/green strobe pistil"
160;"hq4p03";"4"" multicolor peony w/silver strobe pistil"
161;"hq4p04";"4"" pink peony w/green pistil"
162;"hq4p07";"4"" red special strobing peony"
163;"hq4p08";"4"" multicolor falling leaves w/blue stars"
164;"hq4p10";"4"" silver fish"
165;"hq4p11";"4"" multicolor fish"
166;"hq4p15";"4"" multicolor moving stars"
167;"hq4p16";"4"" gold coconut w/green strobe pistil"
168;"hq4q01";"4"" timerain (crackling) willow waterfalll"
169;"hq4q03";"4"" red & blue color mix peony"
170;"hq4q04";"4"" red & silver special strobe waterfall"
171;"hq4q05";"4"" white special strobing peony"
172;"hq4q06";"4"" salute, ti, extra loud (ball)"
173;"hq4q07";"4"" salute, ti, extra loud (cylinder)"
174;"hq4q08";"4"" fireflower (tourbillions) w/multicolor pistil"
175;"hq506";"5"" glittering chrys in thousands flower ball tree"
176;"hq5assort";"5"" assortment 1 ea of 24 w/big silver tail & 2 fuses"
177;"hq5m01";"5"" blue peony"
178;"hq5m02";"5"" white peony"
179;"hq5m04";"5"" fireflower cylinder (double tourbillions) w/big red stobe pistil"
180;"hq5m05";"5"" smiling face w/strobing (blinking) eyes"
181;"hq5n03";"5"" blue wind bells"
182;"hq5p01";"5"" double glittering ring w/big blue pistil"
183;"hq5p02";"5"" double red crackling rain & silver chrys ring"
184;"hq5p04";"5"" 1/2 red/green & 1/2 red/blue in silver cross ring w/gold strobe pistil"
185;"hq5p06";"5"" purple dahlia w/strobing pistil & coconut pistil"
186;"hq5p07";"5"" thousands of silver coconut"
187;"hq5p08";"5"" multicolor falling leaves w/blue stars"
188;"hq5p09";"5"" pink, seablue, orange and green crossettes"
189;"hq5p10";"5"" special spring"
190;"hq5p12";"5"" double layer whistles w/red strobe pistil"
191;"hq5p13";"5"" multicolor moving stars"
192;"hq5p14";"5"" gold coconut w/green strobe pistil"
193;"hq5q01";"5"" silver dragons"
194;"hq5q02";"5"" red wind bells"
195;"hq5q03";"5"" white wind bells"
196;"hq5q04";"5"" timerain (crackling) willow waterfall"
197;"hq5q05";"5"" gold palm tree w/glittering trunk"
198;"hq6assort";"6"" assort HQ 1 ea of 9 w/big silver tail w/2 fuses"
199;"hq6n01";"6"" red cycas in blue crossette"
200;"hq6n02";"6"" brocade crown to red strobe w/red strobe pistil"
201;"hq6p01";"6"" 1/4 red, lemon, green, blue peony w/silver glitter pistil"
202;"hq6p02";"6"" thousands of silver coconut"
203;"hq6p03";"6"" color ten thousand thunder"
204;"hq6p04";"6"" blue to red peony w/white glitter pistil"
205;"hq6p05";"6"" special spring"
206;"hq6p06";"6"" multicolor thousand rings"
207;"hq6p07";"6"" silver flower wave w/big purple pistil"
208;"hq6p08";"6"" triple cherry blossom (3x crackling)"
209;"hq6p09";"6"" brocade crown to red strobe horsetaill"
210;"hq6t01/hx6t02*";"6"" time rain (crackling) willow waterfall"
211;"hqm01";"ck 100s poison spider (sil whirl tl up to red & sil glitter peonies) 38sec"
212;"hqm01-grn";"ck 100s green poison spider(sil whirl tl up to grn & sil glitter peonies)35s"
213;"hqm02";"ck 100s color chrys & crackling & ti salutes (40 sec)"
214;"hqm03";"ck 100s blue tail to silver strobe willow w/blue stars (32 sec)"
215;"hqm05";"ck 100s seablue, orange & grass green peonies & ti salutes -40 sec"
216;"hqm06";"ck 100s multicolor palm tree & ti salutes (45 sec)"
217;"hqm07";"ck 100s silver whirlpool tail to salutes (37 sec)"
218;"hqm10";"ck fan 182s silver strobe mine up to red,grn,pur dahlias & whistles-22 s"
